,frequency,gain,plant,distance_cm
0,100000.0,-97.77914,lilium,
1,10100000.0,-83.13172,lilium,
2,20100000.0,-98.04076,lilium,
3,30100000.0,-97.88262,lilium,
4,40100000.0,-99.43262,lilium,
5,50100000.0,-100.0432,lilium,
6,60100000.0,-102.1797,lilium,
7,70100000.0,-100.9492,lilium,
8,80100000.0,-102.0275,lilium,
9,90100000.0,-98.51441,lilium,
10,100100000.0,-99.50951,lilium,
11,110100000.0,-99.16199,lilium,
12,120100000.0,-100.5911,lilium,
13,130100000.0,-101.405,lilium,
14,140100000.0,-101.4679,lilium,
15,150100000.0,-101.1572,lilium,
16,160100000.0,-101.4512,lilium,
17,170100000.0,-101.0475,lilium,
18,180100000.0,-100.7665,lilium,
19,190100000.0,-101.959,lilium,
20,200100000.0,-101.3072,lilium,
21,210100000.0,-101.1588,lilium,
22,220100000.0,-101.5532,lilium,
23,230100000.0,-100.9558,lilium,
24,240100000.0,-100.43,lilium,
25,250100000.0,-101.5623,lilium,
26,260100000.0,-100.5092,lilium,
27,270100000.0,-101.2009,lilium,
28,280100000.0,-101.2573,lilium,
29,290100000.0,-100.6432,lilium,
30,300100000.0,-100.4398,lilium,
31,310100000.0,-99.99978,lilium,
32,320100000.0,-101.4806,lilium,
33,330100000.0,-100.9885,lilium,
34,340100000.0,-100.1688,lilium,
35,350100000.0,-99.63806,lilium,
36,360100000.0,-99.8172,lilium,
37,370100000.0,-101.2598,lilium,
38,380100000.0,-100.2953,lilium,
39,390100000.0,-99.11509,lilium,
40,400100000.0,-100.5119,lilium,
41,410100000.0,-99.7232,lilium,
42,420100000.0,-100.471,lilium,
43,430100000.0,-99.7818,lilium,
44,440100000.0,-100.5349,lilium,
45,450100000.0,-100.2847,lilium,
46,460100000.0,-99.53698,lilium,
47,470100000.0,-100.4267,lilium,
48,480100000.0,-100.3485,lilium,
49,490100000.0,-99.70415,lilium,
50,500100000.0,-100.7935,lilium,
51,510100000.0,-99.98537,lilium,
52,520100000.0,-101.1425,lilium,
53,530100000.0,-101.058,lilium,
54,540100000.0,-100.7735,lilium,
55,550100000.0,-101.3555,lilium,
56,560100000.0,-100.1112,lilium,
57,570100000.0,-101.2392,lilium,
58,580100000.0,-100.6702,lilium,
59,590100000.0,-101.484,lilium,
60,600100000.0,-101.2005,lilium,
61,610100000.0,-99.64656,lilium,
62,620100000.0,-102.1208,lilium,
63,630100000.0,-97.71152,lilium,
64,640100000.0,-100.7701,lilium,
65,650100000.0,-102.3871,lilium,
66,660100000.0,-101.7163,lilium,
67,670100000.0,-101.6303,lilium,
68,680100000.0,-101.8495,lilium,
69,690100000.0,-101.3168,lilium,
70,700100000.0,-101.3811,lilium,
71,710100000.0,-100.9701,lilium,
72,720100000.0,-101.5098,lilium,
73,730100000.0,-101.4272,lilium,
74,740100000.0,-101.9425,lilium,
75,750100000.0,-101.2342,lilium,
76,760100000.0,-101.3598,lilium,
77,770100000.0,-100.4702,lilium,
78,780100000.0,-101.5685,lilium,
79,790100000.0,-100.9281,lilium,
80,800100000.0,-100.864,lilium,
81,810100000.0,-100.7555,lilium,
82,820100000.0,-99.35326,lilium,
83,830100000.0,-100.6742,lilium,
84,840100000.0,-101.2168,lilium,
85,850100000.0,-101.798,lilium,
86,860100000.0,-101.2778,lilium,
87,870100000.0,-102.0365,lilium,
88,880100000.0,-100.4725,lilium,
89,890100000.0,-101.6063,lilium,
90,900100000.0,-101.0578,lilium,
91,910100000.0,-100.4962,lilium,
92,920100000.0,-100.9489,lilium,
93,930100000.0,-101.8361,lilium,
94,940100000.0,-99.95387,lilium,
95,950100000.0,-100.5396,lilium,
96,960100000.0,-100.8402,lilium,
97,970100000.0,-101.1565,lilium,
98,980100000.0,-100.6028,lilium,
99,990100000.0,-100.7206,lilium,
100,1000100000.0,-101.298,lilium,
101,1010100000.0,-100.6818,lilium,
102,1020100000.0,-100.5618,lilium,
103,1030100000.0,-100.8537,lilium,
104,1040100000.0,-100.5975,lilium,
105,1050100000.0,-100.444,lilium,
106,1060100000.0,-99.9992,lilium,
107,1070100000.0,-101.4504,lilium,
108,1080100000.0,-100.3793,lilium,
109,1090100000.0,-99.9968,lilium,
110,1100100000.0,-100.5681,lilium,
111,1110100000.0,-100.2753,lilium,
112,1120100000.0,-99.23419,lilium,
113,1130100000.0,-99.75976,lilium,
114,1140100000.0,-99.5812,lilium,
115,1150100000.0,-99.88596,lilium,
116,1160100000.0,-99.05008,lilium,
117,1170100000.0,-100.9758,lilium,
118,1180100000.0,-99.93029,lilium,
119,1190100000.0,-99.84524,lilium,
120,1200100000.0,-99.76146,lilium,
121,1210100000.0,-98.87608,lilium,
122,1220100000.0,-100.6342,lilium,
123,1230100000.0,-98.67309,lilium,
124,1240100000.0,-100.4553,lilium,
125,1250100000.0,-100.0451,lilium,
126,1260100000.0,-101.1262,lilium,
127,1270100000.0,-98.94138,lilium,
128,1280100000.0,-99.99006,lilium,
129,1290100000.0,-100.4341,lilium,
130,1300100000.0,-99.76229,lilium,
131,1310100000.0,-99.23479,lilium,
132,1320100000.0,-99.06095,lilium,
133,1330100000.0,-99.12177,lilium,
134,1340100000.0,-99.76965,lilium,
135,1350100000.0,-99.34164,lilium,
136,1360100000.0,-99.26019,lilium,
137,1370100000.0,-99.61396,lilium,
138,1380100000.0,-98.96315,lilium,
139,1390100000.0,-99.74224,lilium,
140,1400100000.0,-99.08506,lilium,
141,1410100000.0,-100.1289,lilium,
142,1420100000.0,-99.73646,lilium,
143,1430100000.0,-99.45864,lilium,
144,1440100000.0,-99.06815,lilium,
145,1450100000.0,-99.61716,lilium,
146,1460100000.0,-99.5048,lilium,
147,1470100000.0,-99.58364,lilium,
148,1480100000.0,-99.01218,lilium,
149,1490100000.0,-99.45578,lilium,
150,1500100000.0,-99.91996,lilium,
151,1510100000.0,-100.6709,lilium,
152,1520100000.0,-99.45638,lilium,
153,1530100000.0,-99.48738,lilium,
154,1540100000.0,-99.84976,lilium,
155,1550100000.0,-99.36555,lilium,
156,1560100000.0,-99.04115,lilium,
157,1570100000.0,-100.2373,lilium,
158,1580100000.0,-99.92015,lilium,
159,1590100000.0,-99.15553,lilium,
160,1600100000.0,-99.68719,lilium,
161,1610100000.0,-100.1543,lilium,
162,1620100000.0,-99.98495,lilium,
163,1630100000.0,-99.96396,lilium,
164,1640100000.0,-99.89375,lilium,
165,1650100000.0,-99.92296,lilium,
166,1660100000.0,-99.85275,lilium,
167,1670100000.0,-99.40195,lilium,
168,1680100000.0,-100.0607,lilium,
169,1690100000.0,-99.52579,lilium,
170,1700100000.0,-99.52764,lilium,
171,1710100000.0,-100.7192,lilium,
172,1720100000.0,-99.20195,lilium,
173,1730100000.0,-98.57115,lilium,
174,1740100000.0,-99.79365,lilium,
175,1750100000.0,-100.3217,lilium,
176,1760100000.0,-100.1173,lilium,
177,1770100000.0,-99.81149,lilium,
178,1780100000.0,-99.81903,lilium,
179,1790100000.0,-98.93678,lilium,
180,1800100000.0,-99.42524,lilium,
181,1810100000.0,-98.80096,lilium,
182,1820100000.0,-99.09015,lilium,
183,1830100000.0,-100.2397,lilium,
184,1840100000.0,-98.34608,lilium,
185,1850100000.0,-97.52757,lilium,
186,1860100000.0,-99.08075,lilium,
187,1870100000.0,-99.61288,lilium,
188,1880100000.0,-99.79835,lilium,
189,1890100000.0,-98.9208,lilium,
190,1900100000.0,-99.38929,lilium,
191,1910100000.0,-99.02364,lilium,
192,1920100000.0,-98.76838,lilium,
193,1930100000.0,-99.67449,lilium,
194,1940100000.0,-100.0165,lilium,
195,1950100000.0,-99.18176,lilium,
196,1960100000.0,-99.55328,lilium,
197,1970100000.0,-99.88788,lilium,
198,1980100000.0,-99.0852,lilium,
199,1990100000.0,-99.56429,lilium,
200,2000100000.0,-99.25916,lilium,
201,2010100000.0,-100.3902,lilium,
202,2020100000.0,-100.0555,lilium,
203,2030100000.0,-98.85338,lilium,
204,2040100000.0,-100.5884,lilium,
205,2050100000.0,-99.46223,lilium,
206,2060100000.0,-98.41909,lilium,
207,2070100000.0,-98.86595,lilium,
208,2080100000.0,-98.76406,lilium,
209,2090100000.0,-99.99446,lilium,
210,2100100000.0,-100.0617,lilium,
211,2110100000.0,-99.59849,lilium,
212,2120100000.0,-98.81986,lilium,
213,2130100000.0,-98.09815,lilium,
214,2140100000.0,-98.73886,lilium,
215,2150100000.0,-98.64977,lilium,
216,2160100000.0,-99.39449,lilium,
217,2170100000.0,-98.52196,lilium,
218,2180100000.0,-97.76419,lilium,
219,2190100000.0,-99.32404,lilium,
220,2200100000.0,-99.28304,lilium,
221,2210100000.0,-98.74081,lilium,
222,2220100000.0,-98.31796,lilium,
223,2230100000.0,-98.80646,lilium,
224,2240100000.0,-99.23088,lilium,
225,2250100000.0,-98.64716,lilium,
226,2260100000.0,-98.4472,lilium,
227,2270100000.0,-98.99565,lilium,
228,2280100000.0,-98.95628,lilium,
229,2290100000.0,-98.38477,lilium,
230,2300100000.0,-99.76608,lilium,
231,2310100000.0,-99.34806,lilium,
232,2320100000.0,-98.41678,lilium,
233,2330100000.0,-99.01028,lilium,
234,2340100000.0,-99.22449,lilium,
235,2350100000.0,-98.98224,lilium,
236,2360100000.0,-98.56419,lilium,
237,2370100000.0,-98.52686,lilium,
238,2380100000.0,-98.30498,lilium,
239,2390100000.0,-98.6438,lilium,
240,2400100000.0,-99.19629,lilium,
241,2410100000.0,-99.66392,lilium,
242,2420100000.0,-98.14008,lilium,
243,2430100000.0,-98.6478,lilium,
244,2440100000.0,-98.45596,lilium,
245,2450100000.0,-97.9539,lilium,
246,2460100000.0,-98.17519,lilium,
247,2470100000.0,-97.86115,lilium,
248,2480100000.0,-98.5862,lilium,
249,2490100000.0,-98.39638,lilium,
250,2500100000.0,-98.87075,lilium,
251,2510100000.0,-99.42506,lilium,
252,2520100000.0,-98.7908,lilium,
253,2530100000.0,-99.58092,lilium,
254,2540100000.0,-98.98129,lilium,
255,2550100000.0,-99.25988,lilium,
256,2560100000.0,-99.12849,lilium,
257,2570100000.0,-98.17506,lilium,
258,2580100000.0,-98.28677,lilium,
259,2590100000.0,-98.89065,lilium,
260,2600100000.0,-99.22353,lilium,
261,2610100000.0,-98.73424,lilium,
262,2620100000.0,-98.85729,lilium,
263,2630100000.0,-98.09895,lilium,
264,2640100000.0,-98.60046,lilium,
265,2650100000.0,-98.32676,lilium,
266,2660100000.0,-97.51489,lilium,
267,2670100000.0,-98.56524,lilium,
268,2680100000.0,-97.72755,lilium,
269,2690100000.0,-97.69855,lilium,
270,2700100000.0,-98.83688,lilium,
271,2710100000.0,-97.78006,lilium,
272,2720100000.0,-97.84496,lilium,
273,2730100000.0,-98.10076,lilium,
274,2740100000.0,-98.02464,lilium,
275,2750100000.0,-98.09315,lilium,
276,2760100000.0,-98.34524,lilium,
277,2770100000.0,-98.30246,lilium,
278,2780100000.0,-98.45965,lilium,
279,2790100000.0,-97.60215,lilium,
280,2800100000.0,-98.04076,lilium,
281,2810100000.0,-97.45019,lilium,
282,2820100000.0,-97.55598,lilium,
283,2830100000.0,-99.19173,lilium,
284,2840100000.0,-98.99527,lilium,
285,2850100000.0,-98.94382,lilium,
286,2860100000.0,-98.16846,lilium,
287,2870100000.0,-98.0238,lilium,
288,2880100000.0,-97.88164,lilium,
289,2890100000.0,-97.1489,lilium,
290,2900100000.0,-98.13096,lilium,
291,2910100000.0,-97.24352,lilium,
292,2920100000.0,-97.61037,lilium,
293,2930100000.0,-98.04181,lilium,
294,2940100000.0,-98.19246,lilium,
295,2950100000.0,-97.99915,lilium,
296,2960100000.0,-97.90564,lilium,
297,2970100000.0,-97.90864,lilium,
298,2980100000.0,-97.95976,lilium,
299,2990100000.0,-99.01627,lilium,
300,3000100000.0,-98.41324,lilium,
301,3010100000.0,-98.19024,lilium,
302,3020100000.0,-97.58895,lilium,
303,3030100000.0,-98.19729,lilium,
304,3040100000.0,-98.48188,lilium,
305,3050100000.0,-97.85815,lilium,
306,3060100000.0,-97.93375,lilium,
307,3070100000.0,-98.11129,lilium,
308,3080100000.0,-97.74476,lilium,
309,3090100000.0,-97.34605,lilium,
310,3100100000.0,-98.56346,lilium,
311,3110100000.0,-97.7778,lilium,
312,3120100000.0,-99.07039,lilium,
313,3130100000.0,-97.25006,lilium,
314,3140100000.0,-96.85609,lilium,
315,3150100000.0,-97.90929,lilium,
316,3160100000.0,-96.53219,lilium,
317,3170100000.0,-97.69796,lilium,
318,3180100000.0,-97.66496,lilium,
319,3190100000.0,-98.22846,lilium,
320,100000.0,-97.1212,cactus,6.0
321,10100000.0,-84.00887,cactus,6.0
322,20100000.0,-98.06576,cactus,6.0
323,30100000.0,-97.00097,cactus,6.0
324,40100000.0,-97.25755,cactus,6.0
325,50100000.0,-97.93353,cactus,6.0
326,60100000.0,-100.3472,cactus,6.0
327,70100000.0,-99.18609,cactus,6.0
328,80100000.0,-99.74577,cactus,6.0
329,90100000.0,-91.38566,cactus,6.0
330,100100000.0,-94.08633,cactus,6.0
331,110100000.0,-90.26569,cactus,6.0
332,120100000.0,-100.0263,cactus,6.0
333,130100000.0,-99.12791,cactus,6.0
334,140100000.0,-100.043,cactus,6.0
335,150100000.0,-100.1329,cactus,6.0
336,160100000.0,-100.6453,cactus,6.0
337,170100000.0,-99.98814,cactus,6.0
338,180100000.0,-100.2149,cactus,6.0
339,190100000.0,-100.3682,cactus,6.0
340,200100000.0,-100.5735,cactus,6.0
341,210100000.0,-99.19005,cactus,6.0
342,220100000.0,-100.5495,cactus,6.0
343,230100000.0,-100.8688,cactus,6.0
344,240100000.0,-100.3941,cactus,6.0
345,250100000.0,-100.339,cactus,6.0
346,260100000.0,-100.1921,cactus,6.0
347,270100000.0,-100.3689,cactus,6.0
348,280100000.0,-100.6057,cactus,6.0
349,290100000.0,-100.8542,cactus,6.0
350,300100000.0,-100.5972,cactus,6.0
351,310100000.0,-99.50709,cactus,6.0
352,320100000.0,-100.6363,cactus,6.0
353,330100000.0,-100.6332,cactus,6.0
354,340100000.0,-100.0808,cactus,6.0
355,350100000.0,-100.1218,cactus,6.0
356,360100000.0,-99.68495,cactus,6.0
357,370100000.0,-99.72286,cactus,6.0
358,380100000.0,-99.9558,cactus,6.0
359,390100000.0,-100.6723,cactus,6.0
360,400100000.0,-99.82164,cactus,6.0
361,410100000.0,-99.63777,cactus,6.0
362,420100000.0,-100.2253,cactus,6.0
363,430100000.0,-99.74319,cactus,6.0
364,440100000.0,-99.94115,cactus,6.0
365,450100000.0,-100.3453,cactus,6.0
366,460100000.0,-99.41019,cactus,6.0
367,470100000.0,-99.39018,cactus,6.0
368,480100000.0,-100.8685,cactus,6.0
369,490100000.0,-100.2312,cactus,6.0
370,500100000.0,-99.87706,cactus,6.0
371,510100000.0,-99.99438,cactus,6.0
372,520100000.0,-101.3119,cactus,6.0
373,530100000.0,-100.2288,cactus,6.0
374,540100000.0,-101.0865,cactus,6.0
375,550100000.0,-100.7058,cactus,6.0
376,560100000.0,-100.4428,cactus,6.0
377,570100000.0,-100.0555,cactus,6.0
378,580100000.0,-100.6319,cactus,6.0
379,590100000.0,-101.1395,cactus,6.0
380,600100000.0,-99.9213,cactus,6.0
381,610100000.0,-100.4752,cactus,6.0
382,620100000.0,-100.5462,cactus,6.0
383,630100000.0,-99.75549,cactus,6.0
384,640100000.0,-101.1052,cactus,6.0
385,650100000.0,-101.6586,cactus,6.0
386,660100000.0,-100.7645,cactus,6.0
387,670100000.0,-101.2466,cactus,6.0
388,680100000.0,-101.6553,cactus,6.0
389,690100000.0,-101.5705,cactus,6.0
390,700100000.0,-102.2569,cactus,6.0
391,710100000.0,-100.2271,cactus,6.0
392,720100000.0,-102.5602,cactus,6.0
393,730100000.0,-101.4362,cactus,6.0
394,740100000.0,-101.5497,cactus,6.0
395,750100000.0,-101.7816,cactus,6.0
396,760100000.0,-101.6135,cactus,6.0
397,770100000.0,-100.5669,cactus,6.0
398,780100000.0,-101.7276,cactus,6.0
399,790100000.0,-100.7542,cactus,6.0
400,800100000.0,-101.1059,cactus,6.0
401,810100000.0,-101.3758,cactus,6.0
402,820100000.0,-92.98087,cactus,6.0
403,830100000.0,-99.62002,cactus,6.0
404,840100000.0,-100.8944,cactus,6.0
405,850100000.0,-101.1118,cactus,6.0
406,860100000.0,-102.2128,cactus,6.0
407,870100000.0,-101.1838,cactus,6.0
408,880100000.0,-101.6223,cactus,6.0
409,890100000.0,-101.3158,cactus,6.0
410,900100000.0,-100.8314,cactus,6.0
411,910100000.0,-100.5952,cactus,6.0
412,920100000.0,-101.1972,cactus,6.0
413,930100000.0,-100.1402,cactus,6.0
414,940100000.0,-101.0378,cactus,6.0
415,950100000.0,-100.4571,cactus,6.0
416,960100000.0,-101.0412,cactus,6.0
417,970100000.0,-101.3673,cactus,6.0
418,980100000.0,-100.8992,cactus,6.0
419,990100000.0,-101.1233,cactus,6.0
420,1000100000.0,-101.0022,cactus,6.0
421,1010100000.0,-100.8457,cactus,6.0
422,1020100000.0,-99.70815,cactus,6.0
423,1030100000.0,-100.3332,cactus,6.0
424,1040100000.0,-101.1803,cactus,6.0
425,1050100000.0,-100.4118,cactus,6.0
426,1060100000.0,-100.356,cactus,6.0
427,1070100000.0,-99.91319,cactus,6.0
428,1080100000.0,-99.90364,cactus,6.0
429,1090100000.0,-100.4645,cactus,6.0
430,1100100000.0,-99.97881,cactus,6.0
431,1110100000.0,-99.42398,cactus,6.0
432,1120100000.0,-100.9451,cactus,6.0
433,1130100000.0,-100.7467,cactus,6.0
434,1140100000.0,-100.1386,cactus,6.0
435,1150100000.0,-99.28497,cactus,6.0
436,1160100000.0,-100.1193,cactus,6.0
437,1170100000.0,-99.5428,cactus,6.0
438,1180100000.0,-99.36578,cactus,6.0
439,1190100000.0,-99.91328,cactus,6.0
440,1200100000.0,-100.6671,cactus,6.0
441,1210100000.0,-100.2031,cactus,6.0
442,1220100000.0,-100.3799,cactus,6.0
443,1230100000.0,-100.3987,cactus,6.0
444,1240100000.0,-99.58996,cactus,6.0
445,1250100000.0,-99.75565,cactus,6.0
446,1260100000.0,-99.52096,cactus,6.0
447,1270100000.0,-99.63528,cactus,6.0
448,1280100000.0,-98.09081,cactus,6.0
449,1290100000.0,-99.97089,cactus,6.0
450,1300100000.0,-99.04996,cactus,6.0
451,1310100000.0,-99.74365,cactus,6.0
452,1320100000.0,-99.31564,cactus,6.0
453,1330100000.0,-99.52375,cactus,6.0
454,1340100000.0,-98.30561,cactus,6.0
455,1350100000.0,-98.4493,cactus,6.0
456,1360100000.0,-99.3258,cactus,6.0
457,1370100000.0,-99.19878,cactus,6.0
458,1380100000.0,-100.1541,cactus,6.0
459,1390100000.0,-99.51415,cactus,6.0
460,1400100000.0,-99.82529,cactus,6.0
461,1410100000.0,-98.80052,cactus,6.0
462,1420100000.0,-98.94919,cactus,6.0
463,1430100000.0,-99.76945,cactus,6.0
464,1440100000.0,-99.17805,cactus,6.0
465,1450100000.0,-98.89153,cactus,6.0
